x2,x5,x10
121214.7852253757,121729.0568698193,120968.21227944393
139338.1344942734,117376.71052343473,116066.13233288734
123663.91460550067,129011.4265937494,118596.44915645644
118130.0693171546,121427.66144451211,116322.20369281669
119665.68007940683,115571.36964860719,122023.40209674885
127215.67175235298,118322.4989554948,117841.67583234745
117796.262082918,119662.34325082116,120070.91957467182
125583.65658857548,122471.70388550723,116192.57286092764
118006.32222410098,120736.76787394106,119994.40132390424
126905.83160898893,125144.08983727191,119257.02343746445
131114.80483460176,123330.13099280854,119071.53045378532
139834.7038301662,116243.01811979094,118297.3679888427
131740.93895902275,120306.53769220426,118886.5625777411
131215.1239892281,123945.38586301403,116973.25576536676
129366.55994903378,116463.25904752788,116749.57241633217
125851.29031525536,120364.30645763194,121883.95850619095
129007.20006550231,120261.32148594956,116154.57220274268
124791.45182174609,119727.34239219947,118203.0965090685
130997.68722487421,125377.94016154573,119144.71916340609
124724.18088817017,118440.74973764093,117294.32601703753
121062.92345511712,124304.00234086966,119418.41870641013
129267.4897919015,118036.15775600841,117469.53245665287
121530.45681476012,121427.24390343446,117826.37720639205
140495.6702958512,118511.46079995092,116685.8414760402
125406.14438923224,122998.94532749767,119268.66394751957
129413.76819940645,118945.03398330018,116719.6664845116
122018.57694072436,118718.8393691197,121935.49439620068
129903.3137576773,122155.31827096082,120105.80118845915
125741.85438708222,119323.33530649896,118153.36292202903
116758.35540657121,116919.22938496634,117376.54852882097
